"proposed_use","status_date","permit_number","proposed_occupancy","data_loaded_at","description","primary_address_flag","revised_cost","street_name","supervisor_district","street_suffix","lot","filed_date","issued_date","plansets","block","application_submission_method","point_source","data_as_of","neighborhoods_analysis_boundaries","existing_occupancy","permit_type_definition","last_permit_activity_date","permit_type","permit_creation_date","zipcode","record_id","adu","estimated_cost","street_number","existing_use","location","status"
"2 family dwelling","2023-09-01T11:07:38.000","202309015805","R-3","2023-09-02T04:14:29.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","13750","Monterey","7","Bl","017","2023-09-01T11:06:15.000","2023-09-01T11:07:38.000","0","3095","website","parcel_centroid","2023-09-01T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-01T11:06:15.000","8","2023-09-01T11:06:15.000","94127","1677430152271","N","13750","750","2 family dwelling","{""coordinates"":[-122.452331748,37.731802836],""type"":""Point""}","issued"
"2 family dwelling","2023-09-01T10:12:53.000","202309015793","R-3","2023-09-02T04:14:29.000","legalize unit under city ordinance # 43-14 (unit a)1. legalize ground floor unauthorized dwelling unit per city ordinance no. 43-14; added on the ground floor - unit a (existing conditioned space under permit# 201110187003). legalize added sink, cabinetry, and removal of interior stair in (e) hall.","Y","","21st","4","Av","010","2023-09-01T10:12:53.000","","2","2475","in-house","parcel_centroid","2023-09-01T23:55:00.000","Sunset/Parkside","R-3","additions alterations or repairs","2023-09-01T10:16:34.000","3","2023-09-01T10:12:53.000","94116","1677417137516","N","1000","2639","1 family dwelling","{""coordinates"":[-122.477848567,37.738449796],""type"":""Point""}","filed"
"2 family dwelling","2023-09-01T11:17:21.000","202309015789","R-3","2023-09-02T04:14:29.000","replace 12 street facing windows. all will be alum clad, 11 will be sash kits to fitin extg frames. all have no ogee lugs to match extg.","Y","19595","22nd","4","Av","025","2023-09-01T09:51:45.000","2023-09-01T11:17:21.000","0","2350","in-house","parcel_centroid","2023-09-01T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-01T11:15:08.000","8","2023-09-01T09:51:45.000","94116","1677411364015","N","19595","2380","2 family dwelling","{""coordinates"":[-122.478606117,37.743343279],""type"":""Point""}","issued"
"apartments","2023-09-01T09:53:24.000","202309015777","R-2","2023-09-02T04:14:29.000","bldg 7/ #112: like for like  to remove and replace one kitchen cabinets, countertops, sink, faucet, one bathroom, vanity sink, faucet, toilet, vacancy sensor, exhaust fan to remain, he lighting fixtures, outlets, switches with covers, no fire sprinkler/alarm modifications, no removing walls.","Y","60000","Bayside Village","6","Pl","100A","2023-09-01T09:04:34.000","2023-09-01T09:53:24.000","0","3773","in-house","parcel_centroid","2023-09-01T23:55:00.000","Financial District/South Beach","R-2","otc alterations permit","2023-09-01T09:40:01.000","8","2023-09-01T09:04:34.000","94107","1677400470801","N","60000","2","apartments","{""coordinates"":[-122.390327293,37.784918571],""type"":""Point""}","issued"
"2 family dwelling","2023-09-01T07:37:07.000","202309015762","R-3","2023-09-02T04:14:29.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","16000","44th","4","Av","010B","2023-09-01T07:36:29.000","2023-09-01T07:37:07.000","0","1799","website","parcel_centroid","2023-09-01T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-01T07:36:31.000","8","2023-09-01T07:36:29.000","94122","1677384114758","N","16000","1363","2 family dwelling","{""coordinates"":[-122.504162303,37.761193024],""type"":""Point""}","issued"
"apartments","2023-09-01T09:04:16.000","202309015776","R-2","2023-09-02T04:14:29.000","designating an office/living room as a bedroom.","Y","0","Norwich","9","St","052","2023-09-01T09:04:16.000","","2","5543","in-house","parcel_centroid","2023-09-01T23:55:00.000","Bernal Heights","R-2","otc alterations permit","2023-09-01T10:41:31.000","8","2023-09-01T00:00:00.000","94110","1677399476172","N","1","55","apartments","{""coordinates"":[-122.411568061,37.745039017],""type"":""Point""}","filed"
"2 family dwelling","2023-09-01T14:24:03.000","202309015840","R-3","2023-09-02T04:14:29.000","2 bathroom remodels like for like. no floor layout change. no wall layout change. no structural work.","Y","41100","Roosevelt","8","Wy","072","2023-09-01T13:57:08.000","2023-09-01T14:24:03.000","0","2608","in-house","parcel_centroid","2023-09-01T23:55:00.000","Castro/Upper Market","R-3","otc alterations permit","2023-09-01T14:20:14.000","8","2023-09-01T00:00:00.000","94117","1677474470872","N","8000","132","2 family dwelling","{""coordinates"":[-122.438709236,37.766885884],""type"":""Point""}","issued"
"apartments","2023-09-01T12:26:00.000","202309015828","R-2","2023-09-02T04:14:29.000","revision to pa# 202306291226, (646/648)install new post and beam on kitchen area, (648a)install new post and beam on garage area.","","0","10th","1","Av","028A","2023-09-01T12:26:00.000","","2","1635","in-house","parcel_centroid","2023-09-01T23:55:00.000","Inner Richmond","R-2","otc alterations permit","2023-09-01T12:28:06.000","8","2023-09-01T00:00:00.000","94118","1677461521458","N","5000","648","apartments","{""coordinates"":[-122.467895439,37.776155897],""type"":""Point""}","filed"
"1 family dwelling","2023-09-01T11:51:28.000","202309015783","R-3","2023-09-02T04:14:29.000","replace shingle siding @ facade inkind. north elevation only.","Y","21600","Eddy","5","St","035","2023-09-01T09:22:07.000","2023-09-01T11:51:28.000","0","1129","in-house","parcel_centroid","2023-09-01T23:55:00.000","Western Addition","R-3","otc alterations permit","2023-09-01T11:46:47.000","8","2023-09-01T00:00:00.000","94115","167740690051","N","21600","1989","1 family dwelling","{""coordinates"":[-122.440264677,37.780206821],""type"":""Point""}","issued"
"apartments","2023-09-01T15:07:45.000","202309015849","R-2","2023-09-02T04:14:29.000","to reinstate a bathroom, a kitchen, lighting in bedroom due to structural upgrade in basement and tenant was relocated temporary. now due the  foundation is done sot have to reinstate in order have tenenat reoccupy the unit.","Y","0","18th","8","St","024","2023-09-01T15:07:45.000","","0","3582","in-house","parcel_centroid","2023-09-01T23:55:00.000","Castro/Upper Market","R-2","otc alterations permit","2023-09-01T15:49:08.000","8","2023-09-01T00:00:00.000","94114","1677481261483","N","10000","4044","apartments","{""coordinates"":[-122.433773107,37.761187943],""type"":""Point""}","filed"
"2 family dwelling","2023-09-01T15:44:17.000","202309015856","R-3","2023-09-02T04:14:29.000","bthroom remodel like for like remodel","Y","0","Cole","5","St","026","2023-09-01T15:44:17.000","","0","1211","in-house","parcel_centroid","2023-09-01T23:55:00.000","Lone Mountain/USF","R-3","otc alterations permit","2023-09-01T15:45:46.000","8","2023-09-01T00:00:00.000","94117","1677487388471","N","8800","226","2 family dwelling","{""coordinates"":[-122.450600359,37.77295862],""type"":""Point""}","filed"
"auto repairs","2023-09-01T14:06:35.000","202309015842","S-1","2023-09-02T04:14:29.000","voluntary removal of general advertising sign. remove all equipment associated with the sign. repair, patch and make weatherproof all areas of the wall/roof where the board was connected/attached to the bldg. there will be an understanding once the sign is removed, it cannot be put up again.","Y","","Geary","2","Bl","001","2023-09-01T14:06:35.000","","2","1087","in-house","parcel_centroid","2023-09-01T23:55:00.000","Lone Mountain/USF","S-1","additions alterations or repairs","2023-09-01T14:09:56.000","3","2023-09-01T00:00:00.000","94118","167747589267","N","1500","3215","auto repairs","{""coordinates"":[-122.453347382,37.781424275],""type"":""Point""}","filed"
"misc group residns.","2023-09-01T08:58:23.000","202309015774","B,A-2,R-2","2023-09-02T04:14:29.000","interiro work only demo of level 2 casework, finishes, and non -bearing partitions, refresh of casework, flooring, wall finishes, new non-bearing partition walls and ceiling soffiets, no change to plumbing fixture count","Y","0","Bush","3","St","001","2023-09-01T08:58:23.000","","2","0669","in-house","parcel_centroid","2023-09-01T23:55:00.000","Nob Hill","B,A-2,R-2","otc alterations permit","2023-09-01T14:04:40.000","8","2023-09-01T00:00:00.000","94109","167739778382","N","2101847","1333","misc group residns.","{""coordinates"":[-122.419000654,37.788594016],""type"":""Point""}","filed"
"2 family dwelling","2023-09-01T13:07:05.000","202309015833","R-3","2023-09-02T04:14:29.000","front window replacement, reframe upper floor windows. new shearwalls at front wall. remove (e) stucco from facade and replace in kind.","Y","50000","Upper","8","Tr","002P","2023-09-01T13:07:05.000","","2","2629A","in-house","parcel_centroid","2023-09-01T23:55:00.000","Haight Ashbury","R-3","otc alterations permit","2023-09-01T15:29:28.000","8","2023-09-01T00:00:00.000","94117","1677467492906","N","50000","278","2 family dwelling","{""coordinates"":[-122.445340696,37.762951278],""type"":""Point""}","filed"
"office","2023-09-01T09:59:19.000","202309015790","B","2023-09-02T04:14:29.000","to comly with american business entrance program abe# 201912059300","Y","0","Howard","6","St","074","2023-09-01T09:59:19.000","","0","3729","in-house","parcel_centroid","2023-09-01T23:55:00.000","South of Market","B","otc alterations permit","2023-09-01T10:24:52.000","8","2023-09-01T00:00:00.000","94103","1677413165226","N","10000","1269","office","{""coordinates"":[-122.412407135,37.775168188],""type"":""Point""}","filed"
"apartments","2023-09-01T11:27:26.000","202309015809","R-2","2023-09-02T04:14:29.000","update (e) f/a system to comply w/ sffc sec 1103.7.6.1","Y","0","Jones","5","St","002","2023-09-01T11:27:26.000","","2","0333","in-house","parcel_centroid","2023-09-01T23:55:00.000","Tenderloin","R-2","otc alterations permit","2023-09-01T11:48:33.000","8","2023-09-01T00:00:00.000","94102","1677434233973","N","54700","345","apartments","{""coordinates"":[-122.412989289,37.784540845],""type"":""Point""}","filed"
"1 family dwelling","2023-09-01T14:02:50.000","202309015826","R-3","2023-09-02T04:14:29.000","4 window replacement (new) non street view. same size & same location.","Y","3500","Los Palmos","7","Dr","073","2023-09-01T12:23:56.000","2023-09-01T14:02:50.000","0","3054","in-house","parcel_centroid","2023-09-01T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-01T13:55:54.000","8","2023-09-01T00:00:00.000","94127","1677458151142","N","3500","501","1 family dwelling","{""coordinates"":[-122.452805721,37.734229145],""type"":""Point""}","issued"
"2 family dwelling","2023-09-01T09:07:20.000","202309015768","R-3","2023-09-02T04:14:29.000","replace wood siding on two stories of the south side of the house in kind. approx 3000 sf","Y","30000","Natoma","9","St","122","2023-09-01T08:12:42.000","2023-09-01T09:07:20.000","0","3548","in-house","parcel_centroid","2023-09-01T23:55:00.000","Mission","R-3","otc alterations permit","2023-09-01T09:05:29.000","8","2023-09-01T00:00:00.000","94103","1677390500765","N","30000","1383","2 family dwelling","{""coordinates"":[-122.418251611,37.767115293],""type"":""Point""}","issued"
"1 family dwelling","2023-09-01T11:40:03.000","202309015779","R-3","2023-09-02T04:14:29.000","replace shingle siding @ fcade in kind- north elevation only.","Y","21600","Eddy","5","St","037","2023-09-01T09:14:41.000","2023-09-01T11:40:03.000","0","1129","in-house","parcel_centroid","2023-09-01T23:55:00.000","Western Addition","R-3","otc alterations permit","2023-09-01T11:33:35.000","8","2023-09-01T00:00:00.000","94115","167740290053","N","21600","1973","1 family dwelling","{""coordinates"":[-122.440264677,37.780206821],""type"":""Point""}","issued"
"1 family dwelling","2023-09-01T13:58:30.000","202309015830","R-3","2023-09-02T04:14:29.000","reroofing","Y","11900","Buchanan","2","St","006","2023-09-01T12:45:11.000","2023-09-01T13:58:30.000","0","0556","in-house","parcel_centroid","2023-09-01T23:55:00.000","Marina","R-3","otc alterations permit","2023-09-01T13:53:52.000","8","2023-09-01T00:00:00.000","94123","1677464303706","N","11900","2811","1 family dwelling","{""coordinates"":[-122.432214755,37.796102647],""type"":""Point""}","issued"
"church","2023-09-01T09:17:04.000","202309015771","A-3,R-3","2023-09-02T04:14:29.000","to comply with nov 202311975. legalize kitchen area. remodel in kind","Y","25000","17th","10","St","001","2023-09-01T08:30:03.000","2023-09-01T09:17:04.000","0","3975","in-house","parcel_centroid","2023-09-01T23:55:00.000","Mission","A-3,R-3","otc alterations permit","2023-09-01T09:07:16.000","8","2023-09-01T00:00:00.000","94110","1677394168253","N","2000","2201","church","{""coordinates"":[-122.405666012,37.764365081],""type"":""Point""}","issued"
"apartments","2023-09-01T10:59:48.000","202309015802","R-2","2023-09-02T04:14:29.000","install new fire alarm system 1 facu 1 pull stations, 4 heat detecor, 8 smoke detector, 8lf sounder, 5 horn strobe 1 strobe","Y","0","Guerrero","9","St","020","2023-09-01T10:59:48.000","","2","6576","in-house","parcel_centroid","2023-09-01T23:55:00.000","Bernal Heights","R-2","otc alterations permit","2023-09-01T11:52:01.000","8","2023-09-01T00:00:00.000","94110","1677427207913","N","18000","1451","apartments","{""coordinates"":[-122.422212064,37.747792697],""type"":""Point""}","filed"
"apartments","2023-09-01T15:06:30.000","202309015837","R-2","2023-09-02T04:14:29.000","as-built f/a permit 202305228240. updated f/a equipment list to reflect what devices are on site. removed 3 lf horn devices from unit 4, 8, 12 each hallway.","Y","1","Fillmore","2","St","007","2023-09-01T13:41:13.000","2023-09-01T15:06:30.000","2","0438A","in-house","parcel_centroid","2023-09-01T23:55:00.000","Marina","R-2","otc alterations permit","2023-09-01T15:01:31.000","8","2023-09-01T00:00:00.000","94123","167747170403","N","1","3755","apartments","{""coordinates"":[-122.437616458,37.805270885],""type"":""Point""}","issued"
"1 family dwelling","2023-09-01T14:05:45.000","202309015832","R-3","2023-09-02T04:14:29.000","dryrot on front and south side of building. stucco replacement in-kind 700 sq.ft. max.","Y","20000","Banks","9","St","019","2023-09-01T12:51:17.000","2023-09-01T14:05:45.000","0","5685","in-house","parcel_centroid","2023-09-01T23:55:00.000","Bernal Heights","R-3","otc alterations permit","2023-09-01T14:02:06.000","8","2023-09-01T00:00:00.000","94110","1677466186803","N","20000","349","1 family dwelling","{""coordinates"":[-122.412518272,37.738713638],""type"":""Point""}","issued"
"1 family dwelling","2023-09-01T15:15:35.000","202309015850","R-3","2023-09-02T04:14:29.000","replace front siding 8x25","Y","0","Mangels","7","Av","013","2023-09-01T15:15:35.000","","0","3063","in-house","parcel_centroid","2023-09-01T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-01T15:16:47.000","8","2023-09-01T00:00:00.000","94127","1677482151256","N","8000","334","1 family dwelling","{""coordinates"":[-122.44515998,37.733315653],""type"":""Point""}","filed"
"warehouse,no frnitur","2023-09-01T11:14:40.000","202309015807","S-2","2023-09-02T04:14:29.000","revision to 202304034918. replace approved ada ramp to ada lift at main entry at (e) parking lot (not affect public row)","Y","40000","Quint","10","St","001","2023-09-01T11:14:40.000","","2","5201","in-house","parcel_centroid","2023-09-01T23:55:00.000","Bayview Hunters Point","S-2","otc alterations permit","2023-09-01T14:19:40.000","8","2023-09-01T00:00:00.000","94124","1677432177919","N","40000","50","warehouse,no frnitur","{""coordinates"":[-122.388990807,37.746470519],""type"":""Point""}","filed"
"apartments","2023-09-01T14:11:17.000","202309015844","R-2","2023-09-02T04:14:29.000","to comply with non 202304471. add exhaust duct to the roof from the laundry room. no exterior work.","Y","0","Fulton","5","St","010","2023-09-01T14:11:17.000","","2","0779","in-house","parcel_centroid","2023-09-01T23:55:00.000","Western Addition","R-2","otc alterations permit","2023-09-01T14:14:26.000","8","2023-09-01T00:00:00.000","94117","1677477237022","N","2000","924","apartments","{""coordinates"":[-122.432132984,37.777915605],""type"":""Point""}","filed"
"apartments","2023-09-01T13:35:37.000","202309015836","R-2","2023-09-02T04:14:29.000","revision to 202201186165. replace 3 windows.","Y","0","Taylor","3","St","003","2023-09-01T13:35:37.000","","2","0214","in-house","parcel_centroid","2023-09-01T23:55:00.000","Nob Hill","R-2","otc alterations permit","2023-09-01T14:15:53.000","8","2023-09-01T00:00:00.000","94108","1677470297253","N","1000","1237","apartments","{""coordinates"":[-122.413290243,37.793939035],""type"":""Point""}","filed"
"1 family dwelling","2023-09-01T11:41:40.000","202309015812","R-3","2023-09-02T04:14:29.000","1st fl - remodel (e) bathroom and replace dry rot wood members @ rear roof, wall floor. 2nd fl - remove door @ bedroom and hall","Y","0","Paulding","11","St","029","2023-09-01T11:41:40.000","","2","3144C","in-house","parcel_centroid","2023-09-01T23:55:00.000","Outer Mission","R-3","otc alterations permit","2023-09-01T12:26:41.000","8","2023-09-01T00:00:00.000","94112","1677437153463","N","25000","46","1 family dwelling","{""coordinates"":[-122.442078655,37.728075452],""type"":""Point""}","filed"
"1 family dwelling","2023-09-01T11:18:04.000","202309015799","R-3","2023-09-02T04:14:29.000","back and side-replace stucco with the same stucco and texture, not visible from street","Y","15000","Westgate","7","Dr","010","2023-09-01T10:40:00.000","2023-09-01T11:18:04.000","0","3264","in-house","parcel_centroid","2023-09-01T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-01T11:12:47.000","8","2023-09-01T00:00:00.000","94127","1677424155450","N","15000","215","1 family dwelling","{""coordinates"":[-122.464778256,37.730306181],""type"":""Point""}","issued"
"1 family dwelling","2023-09-01T13:07:55.000","202309015824","R-3","2023-09-02T04:14:29.000","re-roofing","Y","12000","Vienna","11","St","007","2023-09-01T12:21:12.000","2023-09-01T13:07:55.000","0","6090","in-house","parcel_centroid","2023-09-01T23:55:00.000","Excelsior","R-3","otc alterations permit","2023-09-01T13:04:54.000","8","2023-09-01T00:00:00.000","94112","1677456195953","N","12000","550","1 family dwelling","{""coordinates"":[-122.431267768,37.719787827],""type"":""Point""}","issued"
"","2023-09-01T11:34:50.000","202309015810","","2023-09-02T04:14:29.000","voluntary seismic upgrade","Y","","Baker","2","St","032","2023-09-01T11:34:50.000","","2","1080","in-house","parcel_centroid","2023-09-01T23:55:00.000","Japantown","","otc alterations permit","2023-09-01T12:21:09.000","8","2023-09-01T00:00:00.000","94115","1677435410388","N","","1338","","{""coordinates"":[-122.442643057,37.783534565],""type"":""Point""}","filed"
"clinics-medic/dental","2023-09-01T11:36:17.000","202309015811","B","2023-09-02T04:14:29.000","to comply with accessible business entry program s.f. ordinance 51-16 abe# 202209094100 instalation of power door operator and sinage and new contrasting stripe","Y","10000","Noriega","4","St","010B","2023-09-01T11:36:17.000","","2","2058","in-house","parcel_centroid","2023-09-01T23:55:00.000","Sunset/Parkside","B","otc alterations permit","2023-09-01T13:27:20.000","8","2023-09-01T00:00:00.000","94122","1677436123849","N","10000","1431","clinics-medic/dental","{""coordinates"":[-122.479177307,37.753864711],""type"":""Point""}","filed"
"1 family dwelling","2023-09-01T11:16:51.000","202309015808","R-3","2023-09-02T04:14:29.000","revision to pa 202302031372 and 202305167875. front & side elevation, replace street facing windows","Y","15000","Monterey","7","Bl","008","2023-09-01T11:16:51.000","","2","3273","in-house","parcel_centroid","2023-09-01T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-01T14:51:00.000","8","2023-09-01T00:00:00.000","94127","1677433155603","N","15000","1275","1 family dwelling","{""coordinates"":[-122.462985324,37.730215397],""type"":""Point""}","filed"
"food/beverage hndlng","2023-09-01T08:27:27.000","202309015764","B,R-3","2023-09-02T04:14:29.000","install ul 300 hood & duct fire system to protect kitchen hood and cooking equipment","Y","5900","Steiner","2","St","022","2023-09-01T07:52:48.000","2023-09-01T08:27:27.000","2","0491","in-house","parcel_centroid","2023-09-01T23:55:00.000","Marina","B,R-3","otc alterations permit","2023-09-01T08:24:30.000","8","2023-09-01T00:00:00.000","94123","167738671794","N","5900","3352","food/beverage hndlng","{""coordinates"":[-122.437561787,37.800448628],""type"":""Point""}","issued"
"1 family dwelling","2023-09-01T11:14:06.000","202309015806","R-3","2023-09-02T04:14:29.000","replace fau with heat pump. change out air handler and replace 3 supply duct","Y","0","Ramsell","7","St","002","2023-09-01T11:14:06.000","","0","7132","in-house","parcel_centroid","2023-09-01T23:55:00.000","Oceanview/Merced/Ingleside","R-3","otc alterations permit","2023-09-01T11:44:35.000","8","2023-09-01T00:00:00.000","94132","1677431222704","N","23300","29","1 family dwelling","{""coordinates"":[-122.46639646,37.711272725],""type"":""Point""}","filed"
"1 family dwelling","2023-09-01T15:05:33.000","202309015820","R-3","2023-09-02T04:14:29.000","roof tear off, new toch down install","Y","7000","24th","4","Av","007","2023-09-01T12:03:35.000","2023-09-01T15:05:33.000","0","7214","in-house","parcel_centroid","2023-09-01T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-01T15:02:19.000","8","2023-09-01T00:00:00.000","94132","1677449224353","N","7000","3040","1 family dwelling","{""coordinates"":[-122.479801914,37.731918509],""type"":""Point""}","issued"
"1 family dwelling","2023-09-01T14:49:46.000","202309015843","R-3","2023-09-02T04:14:29.000","revision to permit #202307202627. changing from full house rewire to work in kitchen, bathroom, hallway, and bedroom only. sub panel upgrade.","Y","1","02nd","1","Av","032","2023-09-01T14:10:23.000","2023-09-01T14:49:46.000","0","1544","in-house","parcel_centroid","2023-09-01T23:55:00.000","Inner Richmond","R-3","otc alterations permit","2023-09-01T14:45:37.000","8","2023-09-01T00:00:00.000","94118","1677476103649","N","1","568","1 family dwelling","{""coordinates"":[-122.459434346,37.777999171],""type"":""Point""}","issued"
"1 family dwelling","2023-09-01T15:22:32.000","202309015852","R-3","2023-09-02T04:14:29.000","exterior side fence work, exterior paint, kitchen remodeling, bathroom remodeling, front yard touch  ups, garage driveway reconstruction, complied w/nov 202310814","Y","0","Winston","7","Dr","023","2023-09-01T15:22:32.000","","0","7235","in-house","parcel_centroid","2023-09-01T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-01T15:33:11.000","8","2023-09-01T00:00:00.000","94132","1677484224748","N","5500","145","1 family dwelling","{""coordinates"":[-122.473952259,37.726701016],""type"":""Point""}","filed"
"1 family dwelling","2023-09-01T10:46:03.000","202309015800","R-3","2023-09-02T04:14:29.000","reroofing","Y","3500","Wilde","10","Av","004","2023-09-01T10:46:03.000","","0","6178","in-house","parcel_centroid","2023-09-01T23:55:00.000","Visitacion Valley","R-3","otc alterations permit","2023-09-01T11:37:50.000","8","2023-09-01T00:00:00.000","94134","1677425197722","N","3500","408","1 family dwelling","{""coordinates"":[-122.40550666,37.717565777],""type"":""Point""}","filed"
"retail sales","2023-09-01T10:27:03.000","202309015797","M,B","2023-09-02T04:14:29.000","add accessible door operator to an (e) retail store.","Y","0","Fillmore","2","St","022","2023-09-01T10:27:03.000","","2","0653","in-house","parcel_centroid","2023-09-01T23:55:00.000","Pacific Heights","M,B","otc alterations permit","2023-09-01T10:48:00.000","8","2023-09-01T00:00:00.000","94115","1677421373909","N","25000","2040","retail sales","{""coordinates"":[-122.433466884,37.788520731],""type"":""Point""}","filed"
